rank,sku,brand,title,price,original_price,merchant,rating,review_count,url,source_segment
198,HBCV00007ZS9KB,Persil,Persil Jel Beyazlar&Renkliler Çamaşır Deterjanı Sık Yıkananlar 2470 ml (38 Yıkama),300.9,309.67,Hepsiburada,4.4,140,https://www.hepsiburada.com/persil-jel-beyazlar-renkliler-camasir-deterjani-sik-yikananlar-2470-ml-38-yikama-pm-HBC00007ZS9KA,supermarket-vitrini
199,HBV00000VAUPZ,Domol,Domol 500 ml Fırın & Izgara Temizleyici Zorlu Kirler ve Yanmış Yağlar için Etkili Temizlik,186,186,Rossmann,4.7,15790,https://www.hepsiburada.com/domol-firin-izgara-temizleyici-500-ml-pm-HB00000VAUPY,supermarket-vitrini
200,HBCV0000GNLWTW,Miss,Miss Çamaşır Deterjanı Arap Sabunu + Soda Plus Etkili,277.9,277.9,MisMatik Turkiye,4.4,21,https://www.hepsiburada.com/miss-camasir-deterjani-arap-sabunu-soda-plus-etkili-pm-HBC0000GNLWTV,supermarket-vitrini
201,HBCV00009WCTPD,Pella,Pella Active Çamaşır Suyu ile Kullanılabilen Tek Mikrofiber 3'lü Temizlik Bezi (40X60) Büyük Boy,299.9,299.9,Pella Fabrika Satış,4.7,43,https://www.hepsiburada.com/active-camasir-suyu-ile-kullanilabilen-tek-mikrofiber-3-lu-temizlik-bezi-40x60-buyuk-boy-pm-HBC00009WCTPC,supermarket-vitrini
202,HBCV00008RUWA7,Omo,Omo Express Fresh Sıvı Deterjan 1480 ml Ultra Beyaz X1 Renkli ve Siyahlar X1 Kötü Koku Karşıtı X1,849,849,Unilever,4.8,86,https://www.hepsiburada.com/omo-express-fresh-sivi-deterjan-1480-ml-ultra-beyaz-x1-renkli-ve-siyahlar-x1-kotu-koku-karsiti-x1-pm-HBC00008RUWA6,supermarket-vitrini
203,HBV00000XXLM4,Alo,Alo 10 Kg Kar Çiçeği Ferahlğı Beyazlar ve Renkliler Hızlı Çözülme  Toz Deterjan,534,534,HORON GLOBAL MARKET,4.3,1784,https://www.hepsiburada.com/alo-10-kg-kar-cicegi-ferahlgi-beyazlar-ve-renkliler-hizli-cozulme-toz-deterjan-pm-HB00000XXLM3,supermarket-vitrini
204,HBCV000030IXG0,Missclean,( 2 Adet ) Sihirli Inox Paslanmaz Telli Bulaşık Süngeri,83,99.9,Missclean,4.6,278,https://www.hepsiburada.com/-2-adet-sihirli-inox-paslanmaz-telli-bulasik-sungeri-pm-HBC000030IXFZ,supermarket-vitrini
205,ZYBENC279533,Finish,Finish Limon Kokusuyla Bulaşık Makinesi Parlatıcı & Kurutucu Sıvı 800 ml Etkili Temizlik,198.9,206.17,Hepsiburada,4.8,6282,https://www.hepsiburada.com/finish-bulasik-makinesi-parlaticisi-limon-800ml-pm-zybenc279533,supermarket-vitrini
206,HBCV0000I31F0V,Siveno,Siveno %100 Doğal Bulaşık Makinesi Jeli Kireç Önleyici & Temizleyici Limon Tuzu Noniyonik Yüzey Aktif 400 ml,399.8,399.8,siveno,0,0,https://www.hepsiburada.com/siveno-100-dogal-bulasik-makinesi-jeli-kirec-onleyici-temizleyici-limon-tuzu-noniyonik-yuzey-aktif-500-ml-pm-HBC0000I31F0P,supermarket-vitrini
207,HBCV00002YTVUR,Bingo,"Bingo Fresh Ferah Evim Parfümlü Yüzey Temizleyici 2,5L",117.9,118.99,Hepsiburada,4.8,399,https://www.hepsiburada.com/bingo-fresh-ferah-evim-parfumlu-yuzey-temizleyici-2-5l-pm-HBC00002YTVUQ,supermarket-vitrini
208,ZYUNIL20077251,Yumoş,Yumoş Extra Konsantre Çamaşır Yumuşatıcı Orkide 1440 ml 60 Yıkama,202.9,219,Hepsiburada,4.8,12489,https://www.hepsiburada.com/yumos-extra-konsantre-camasir-yumusatici-orkide-1440-ml-60-yikama-pm-zyunil20077251,supermarket-vitrini
209,HBCV0000GMXWTK,Bingo,Bingo Jetjel Canlı Renkler 1480 ml,230.9,242.17,Hepsiburada,5,3,https://www.hepsiburada.com/bingo-jetjel-canli-renkler-1480-ml-pm-HBC0000GMXWTF,supermarket-vitrini
210,ZYHAYAT5012277,Bingo,"Bingo Fresh Yüzey Temizleyici Mutlu Yuvam 2,5 lt Eşsiz Bebek Kokusu ile Yerli Üretim",250,250,KONSEY TOPTAN MARKET,4.8,1407,https://www.hepsiburada.com/bingo-fresh-yuzey-temizleyici-mutlu-yuvam-2-5-l-pm-zyhayat5012277,supermarket-vitrini
211,ZYBENC279532,Finish,Finish Bulaşık Makinesi Parlatıcı & Kurutucu Sıvı 800 ml,198.9,208.42,Hepsiburada,4.8,5609,https://www.hepsiburada.com/finish-bulasik-makinesi-parlaticisi-800-ml-iz-birakmayan-ferah-koku-ile-parlak-sonuclar-pm-zybenc279532,supermarket-vitrini
212,ZYUNIL32013617,Yumoş,Yumoş Çamaşır Yumuşatıcısı Çiçek Bahçesi 5 Lt,252.9,275.17,Hepsiburada,4.6,654,https://www.hepsiburada.com/yumos-camasir-yumusaticisi-cicek-bahcesi-5-lt-50-yikama-pm-zyunil32013617,supermarket-vitrini
213,HBCV000098DNKF,Persil,Persil Toz Çamaşır Deterjanı Okyanus Ferahlığı 9kg (60 Yıkama),522.9,522.9,Hepsiburada,4.9,423,https://www.hepsiburada.com/persil-toz-camasir-deterjani-okyanus-ferahligi-9kg-60-yikama-pm-HBC000098DNKE,supermarket-vitrini
214,HBCV00008L8UDR,Bingo,Bingo Sıvı Bulaşık Deterjanı 1500 ml Limon Kokulu,129.9,139.42,Hepsiburada,4.5,159,https://www.hepsiburada.com/bingo-sivi-bulasik-deterjani-1500-ml-limon-kokulu-pm-HBC00008L8UDQ,supermarket-vitrini
215,HBV00000TVM55,Asperox,Asperox Sarı Güç Ultra Yağ Çözücü 1 Lt Sprey,133.22,133.22,Hepsiburada,4.6,9397,https://www.hepsiburada.com/asperox-sari-guc-ultra-yag-cozucu-1-lt-sprey-pm-HB00000TVM54,supermarket-vitrini
216,HBCV0000DI9MM8,Asperox,Asperox 650 ml Pembe Güç Leke Çıkarıcı Sprey Konsantre Formül ile Etkili Temizlik,149.9,149.9,Hepsiburada,3.6,102,https://www.hepsiburada.com/asperox-pembe-guc-leke-cikari-sprey-650-ml-pm-HBC0000DI9MM7,supermarket-vitrini
217,HBCV000099U0T1,Fairy,Fairy Platinum Bulaşık Makinesi Deterjanı Kapsülü/ tableti 50 Yıkama,513.9,518.17,Hepsiburada,4.8,135,https://www.hepsiburada.com/fairy-platinum-bulasik-makinesi-deterjani-kapsulu-tableti-50-yikama-pm-HBC000099U0T0,supermarket-vitrini
218,HBCV000091TT5K,Tursil,Tursilmatik yoğun Ferahlık Kötü Koku Karşıtı  10 kg,471.9,480.67,Hepsiburada,4.7,204,https://www.hepsiburada.com/tursilmatik-yogun-ferahlik-kotu-koku-karsiti-10-kg-pm-HBC000091TT5J,supermarket-vitrini
219,HBCV00005N6HJ4,Yumoş,Yumoş Extra Konsantre Çamaşır Yumuşatıcı Sakura1440 ml 60 Yıkama,180.9,208.99,Hepsiburada,4.8,1999,https://www.hepsiburada.com/yumos-extra-konsantre-camasir-yumusatici-sakura1440-ml-60-yikama-pm-HBC00005N6HJ3,supermarket-vitrini
220,HBCV00008P4ODK,Cif,Cif Zemin Temizleyici 1500 ml Beyaz Sabun İz ve Toz Bırakmayan Özelliği ile Etkili Temizlik,105.9,109.99,Hepsiburada,4.6,278,https://www.hepsiburada.com/cif-zemin-temizleyici-beyaz-sabun-1500-ml-pm-HBC00008P4ODJ,supermarket-vitrini
221,HBV00001BLMVA,Peros,Peros 10 kg Canlı Renkler Toz Çamaşır Deterjan 58 Yıkama Standart Koku ile Etkili Temizlik,439.9,439.9,Hepsiburada,4.7,1572,https://www.hepsiburada.com/peros-10-kg-canli-renkler-pm-HB00001BLMV9,supermarket-vitrini
222,HBV00001AGW3Z,Peros,Peros Matik 10 kg Göz Alıcı Beyazlar Toz Çamaşır Deterjanı 50 Yıkama Standart Koku,439.9,439.9,Hepsiburada,4.6,1470,https://www.hepsiburada.com/peros-matik-goz-alici-beyazlar-10-kg-pm-HB00001AGW3Y,supermarket-vitrini
223,HBCV00009KREPI,Just Green Organic,Just Green Organic Bitkisel Çamaşır Yumuşatıcı Lilyum Çiçeği - Doğal ve Ferahlatıcı Yumuşaklık (1000 Ml) 32 Yıkama,245,245,Just Green Organic,4.7,116,https://www.hepsiburada.com/just-green-organic-bitkisel-camasir-yumusatici-lilyum-cicegi-dogal-ve-ferahlatici-yumusaklik-1000-ml-32-yikama-pm-HBC00009KREPH,supermarket-vitrini
224,HBCV00007LV4HM,Yumoş,Yumoş Extra Konsantre Çamaşır Yumuşatıcı Lotus 1440 ml 60 Yıkama,201.9,219,Hepsiburada,4.8,495,https://www.hepsiburada.com/yumos-extra-konsantre-camasir-yumusatici-lotus-1440-ml-60-yikama-pm-HBC00007LV4HL,supermarket-vitrini
225,HBCV00000SP1R5,Bingo,Bingo Matik 10 kg Mutlu Yuvam Renkliler ve Beyazlar Toz Çamaşır Deterjanı Ekonomi Paketi 2'li,827,827,HORON GLOBAL MARKET,4.2,3816,https://www.hepsiburada.com/bingo-matik-10-kg-mutlu-yuvam-renkliler-ve-beyazlar-toz-camasir-deterjani-2-li-pm-HBC00000SP1R4,supermarket-vitrini
226,HBCV0000AR5JNL,Yumoş,Yumoş Extra Konsantre Çamaşır Yumuşatıcısı Orkide 2520 ml Kalıcı Ferahlık ve Yumuşak Doku,215.9,278.92,Hepsiburada,4.9,106,https://www.hepsiburada.com/yumos-extra-konsantre-camasir-yumusaticisi-orkide-2520ml-pm-HBC0000AR5JNK,supermarket-vitrini
227,HBCV00006L2X1O,Perwoll,Perwoll Spor Giysiler İçin Hassas Bakım Sıvı Deterjanı 2.97L (54 Yıkama),241.9,272.92,Hepsiburada,4.3,719,https://www.hepsiburada.com/perwoll-spor-giysiler-icin-hassas-bakim-sivi-deterjani-2-97l-54-yikama-pm-HBC00006L2X1N,supermarket-vitrini
228,HBCV000060IANV,Perwoll,Perwoll Siyahlar & Koyu Renkliler Hassas Bakım Sıvı Çamaşır Deterjanı 3.96L (72 Yıkama),374.9,374.9,Hepsiburada,4.6,1338,https://www.hepsiburada.com/perwoll-siyahlar-koyu-renkliler-hassas-bakim-sivi-camasir-deterjani-3-96l-72-yikama-pm-HBC000060IANU,supermarket-vitrini
229,HBCV00008IJ9S5,Bingo,Bingo Oksijenli Çamaşır Suyu Çam Kokulu 4 L,234.58,249.49,Hepsiburada,4.7,143,https://www.hepsiburada.com/bingo-oksijenli-camasir-suyu-cam-kokulu-4-l-pm-HBC00008IJ9S4,supermarket-vitrini
230,HBCV00000D22DB,Missclean,Missclean Sihirli Bulaşık Kurulama Bezi 40 x 60 cm,147.5,147.5,AKALIN TEMİZLİK,4.7,157,https://www.hepsiburada.com/missclean-sihirli-bulasik-kurulama-bezi-40-x-60-cm-pm-HBC00000D22DA,supermarket-vitrini
