rank,sku,brand,title,price,original_price,merchant,rating,review_count,url,source_segment
21,HBCV00006WWHO7,Molfix,Molfix Premium Süper Fırsat Paketi 4 Beden 108 Adet,891.99,891.99,Hayat,4.1,377,https://www.hepsiburada.com/molfix-premium-super-firsat-paketi-4-beden-108-adet-pm-HBC00006WWHO6,anne-bebek-vitrini
22,HBCV00006WD3N1,Molfix,Molfix Premium Süper Fırsat Paketi 5 Beden 84 Adet,891.99,891.99,Hayat,4.2,402,https://www.hepsiburada.com/molfix-premium-super-firsat-paketi-5-beden-84-adet-pm-HBC00006WD3N0,anne-bebek-vitrini
23,HBCV00005ADJMY,Molfix,Molfix Pure & Soft Bebek Bezi 5 Beden Junior 132 Adet,1059.99,1059.99,Hayat,4.5,1026,https://www.hepsiburada.com/molfix-pure-soft-bebek-bezi-5-beden-junior-132-adet-pm-HBC00005ADJMX,anne-bebek-vitrini
24,HBCV0000D5JXD8,Molfix,Molfix Pants 6 Beden Fırsat Paketi 114 Adet,1195,1235,İLOVYA,4.6,58,https://www.hepsiburada.com/molfix-pants-6-beden-firsat-paketi-114-adet-pm-HBC0000D5JXD7,anne-bebek-vitrini
25,HBCV0000C84W0U,Sleepy,Sleepy Natural Double Soft Ultra Fırsat Paketi Bebek Bezi 1 Numara Newborn 100 Adet,566,566,Sleepy,4.2,654,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-firsat-paketi-bebek-bezi-1-numara-newborn-100-adet-p-HBCV0000C84W0U,anne-bebek-vitrini
26,HBCV0000DBZW04,Molfix,Molfix Kanal Teknolojisi Dev Avantaj Paketi 1 Beden Yenidoğan 144 Adet,739.99,739.99,Hayat,4.2,73,https://www.hepsiburada.com/molfix-kanal-teknolojisi-dev-avantaj-paketi-1-beden-yenidogan-144-adet-pm-HBC0000DBZUAZ,anne-bebek-vitrini
27,HBCV0000E6VJOT,Sleepy,Sleepy Bio Natural Premium Plus Airbag Comfort Avantaj Paketi Bebek Bezi 3 Numara Midi 112 Adet,810,810,Sleepy,4.3,122,https://www.hepsiburada.com/sleepy-bio-natural-premium-plus-airbag-comfort-avantaj-paketi-bebek-bezi-3-numara-midi-112-adet-p-HBCV0000E6VJOT,anne-bebek-vitrini
28,HBCV00006WD2FN,Molfix,Molfix Premium Avantajlı Paket 6 Beden 108 Adet,1006.99,1006.99,Hayat,4.5,186,https://www.hepsiburada.com/molfix-premium-avantajli-pket-6-beden-108-adet-pm-HBC00006WD2FM,anne-bebek-vitrini
29,HBCV000073VQ3H,Prima,Prima PremiumCare Bebek Bezi Aylık Fırsat Paketi 7 Numara 80 Adet Bez,1797.9,1797.9,Hepsiburada,4.8,99,https://www.hepsiburada.com/prima-premiumcare-bebek-bezi-aylik-firsat-paketi-7-numara-80-adet-bez-pm-HBC000073VQ3G,anne-bebek-vitrini
30,HBCV0000C85165,Sleepy,Sleepy Natural Double Soft Ultra Fırsat Paketi Bebek Bezi 7 Numara Xxlarge 96 Adet,920,920,nelazimsabak,4.2,654,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-firsat-paketi-bebek-bezi-7-numara-xxlarge-96-adet-p-HBCV0000C85165,anne-bebek-vitrini
31,HBCV00003UPP2T,Molfix,Molfix Külot Bebek Bezi 4 Beden Maxi Ultra Fırsat Paketi 86 adet,470.9,488.92,Hepsiburada,4.3,54,https://www.hepsiburada.com/molfix-kulot-bebek-bezi-4-beden-maxi-86-li-ultra-firsat-paketi-pm-HBC00003UPP2S,anne-bebek-vitrini
32,HBCV00004M9B7N,Sleepy,Sleepy Extra Günlük Aktivite Ultra Paket Bebek Bezi 4 Numara Maxi 208 Adet,760,760,Sleepy,4.4,53,https://www.hepsiburada.com/sleepy-extra-gunluk-aktivite-ultra-paket-bebek-bezi-4-numara-maxi-208-adet-pm-HBC00004M9B7M,anne-bebek-vitrini
33,HBCV0000C839S6,Sleepy,Sleepy Natural Double Soft Ultra Paket Bebek Bezi 5 Numara Junior 78 Adet,657,657,Sleepy,4.4,329,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-paket-bebek-bezi-5-numara-junior-78-adet-p-HBCV0000C839S6,anne-bebek-vitrini
34,HBCV0000E6VRUW,Sleepy,Sleepy Bio Natural Premium Plus Airbag Comfort Avantaj Paketi Bebek Bezi 1 Numara Newborn 128 Adet,810,810,Sleepy,4.3,122,https://www.hepsiburada.com/sleepy-bio-natural-premium-plus-airbag-comfort-avantaj-paketi-bebek-bezi-1-numara-newborn-128-adet-p-HBCV0000E6VRUW,anne-bebek-vitrini
35,HBV00000F3SLJ,Prima,Prima Aktif Bebek Mega Fırsat Paketi 5 Beden 92 Adet,1102.9,1102.9,Hepsiburada,4.8,21242,https://www.hepsiburada.com/prima-aktif-bebek-mega-firsat-paketi-5-beden-92-adet-p-HBV00000F3SLJ,anne-bebek-vitrini
36,HBCV0000C8546C,Sleepy,Sleepy Natural Double Soft Ultra Fırsat Paketi Bebek Bezi 2 Numara Mini 96 Adet,387,387,defnebebek,4.2,654,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-firsat-paketi-bebek-bezi-2-numara-mini-96-adet-p-HBCV0000C8546C,anne-bebek-vitrini
37,HBCV0000DF119M,Sleepy,Sleepy Natural Double Soft Ultra Paket Külot Bez 6 Numara Xlarge 62 Adet,657,657,Sleepy,4,76,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-paket-kulot-bez-6-numara-xlarge-62-adet-p-HBCV0000DF119M,anne-bebek-vitrini
38,HBCV00006WD2FR,Molfix,Molfix Premium Ultra Fırsat Paketi 3 Beden 94 Adet,518,689,Ekstremarkt,4.4,231,https://www.hepsiburada.com/molfix-premium-ultra-firsat-paketi-3-beden-94-adet-pm-HBC00006WD2FQ,anne-bebek-vitrini
39,HBV00000F3SLL,Prima,Prima Aktif Bebek Mega Fırsat Paketi 6 Beden 76 Adet,1102.9,1102.9,Hepsiburada,4.8,21242,https://www.hepsiburada.com/prima-aktif-bebek-mega-firsat-paketi-6-beden-76-adet-p-HBV00000F3SLL,anne-bebek-vitrini
40,HBCV0000G8BSXJ,Molfix,Molfix Kanal Teknolojisi Mega Paket 6 Beden Extra Large 160 Adet,2390,2390,Metic,5,3,https://www.hepsiburada.com/molfix-kanal-teknolojisi-mega-paket-6-beden-extra-large-160-adet-pm-HBC0000G8BSXA,anne-bebek-vitrini
41,HBCV00007DX47R,Molfix,Molfix Premium Bantlı Bebek Bezi 34'lü Extra Large 15+ kg İçin Rahat Kullanım,321.9,321.9,Hepsiburada,4.9,15,https://www.hepsiburada.com/molfix-premium-firsat-paketi-34-lu-extra-large-15-kg-pm-HBC00007DX47Q,anne-bebek-vitrini
42,HBCV0000DF1V2G,Baby Turco,Baby Turco Doğadan Avantaj Paketi Pofuduk Bebek Bezi 5 Numara Junior 78 Adet,419.99,559.99,ebebek,4.4,146,https://www.hepsiburada.com/baby-turco-dogadan-avantaj-paketi-pofuduk-bebek-bezi-5-numara-junior-78-adet-p-HBCV0000DF1V2G,anne-bebek-vitrini
43,HBV00000KE2RU,Sleepy,Sleepy Mayo Bebek Bezi 5-6 Beden 14 Adet 15- 25 kg,390,390,Sleepy,4.6,772,https://www.hepsiburada.com/sleepy-mayo-bebek-bezi-5-6-beden-14-adet-15-25-kg-pm-HB00000WG20T,anne-bebek-vitrini
44,HBCV000016QRLG,Sleepy,Sleepy Extra Günlük Aktivite Süper Paket Bebek Bezi 1 Numara Yenidoğan 128 Adet,380,380,Sleepy,4.5,6039,https://www.hepsiburada.com/sleepy-extra-gunluk-aktivite-super-paket-bebek-bezi-1-numara-yenidogan-128-adet-pm-HBC000016QRLF,anne-bebek-vitrini
45,HBCV00004Z6MMM,Molfix,Molfix Bebek Bezi Fırsat Paketi 1 Beden Yenidoğan 82 Adet,349.43,393.11,ebebek,4.7,445,https://www.hepsiburada.com/molfix-firsat-paketi-yenidogan-1-beden-82-adet-pm-HBC00004Z6MML,anne-bebek-vitrini
46,HBCV0000E6VLOR,Sleepy,Sleepy Bio Natural Premium Plus Airbag Comfort Avantaj Paketi Bebek Bezi 5 Numara Junior 80 Adet,810,810,Sleepy,4.3,122,https://www.hepsiburada.com/sleepy-bio-natural-premium-plus-airbag-comfort-avantaj-paketi-bebek-bezi-5-numara-junior-80-adet-p-HBCV0000E6VLOR,anne-bebek-vitrini
