rank,sku,brand,title,price,original_price,merchant,rating,review_count,url,source_segment
180,HBCV0000ECFLIX,Tonny Black,Tonny Black Kadın Bej Bordo Kauçuk Taban Bağcıklı Sneaker Rahat Kalıp Modern Tasarım,815.35,815.35,,4.5,110,https://www.hepsiburada.com/tonny-black-kadin-bej-bordo-kaucuk-taban-bagcikli-sneaker-rahat-kalip-modern-tasarim-p-HBCV0000ECFLIX,moda-vitrini
181,HBCV0000ECFLUK,Tonny Black,Tonny Black Kadın Siyah Siyah Rahat Kalıp Kauçuk Taban Bağcıklı Sneaker,815.35,815.35,,4.5,110,https://www.hepsiburada.com/tonny-black-kadin-siyah-siyah-rahat-kalip-kaucuk-taban-bagcikli-sneaker-p-HBCV0000ECFLUK,moda-vitrini
182,HBCV0000ECFLNE,Tonny Black,Tonny Black Kadın Bej Kahve Kauçuk Taban Bağcıklı Sneaker Rahat Kalıp Modern Tasarım,815.35,815.35,,4.5,110,https://www.hepsiburada.com/tonny-black-kadin-bej-kahve-kaucuk-taban-bagcikli-sneaker-rahat-kalip-modern-tasarim-p-HBCV0000ECFLNE,moda-vitrini
183,HBCV0000ECFM65,Tonny Black,Tonny Black Kadın Beyaz Kauçuk Taban Bağcıklı Sneaker Modern Rahat Kalıp,815.35,815.35,,4.5,110,https://www.hepsiburada.com/tonny-black-kadin-beyaz-kaucuk-taban-bagcikli-sneaker-modern-rahat-kalip-p-HBCV0000ECFM65,moda-vitrini
184,HBCV0000ECFLIU,Tonny Black,Tonny Black Kadın Beyaz Lacivert Rahat Kalıp Kauçuk Taban Bağcıklı Sneaker,815.35,815.35,,4.5,110,https://www.hepsiburada.com/tonny-black-kadin-beyaz-lacivert-rahat-kalip-kaucuk-taban-bagcikli-sneaker-p-HBCV0000ECFLIU,moda-vitrini
185,HBCV0000ECFLUM,Tonny Black,Tonny Black Kadın Beyaz Füme Rahat Kalıp Kauçuk Taban Bağcıklı Sneaker,815.35,815.35,,4.5,110,https://www.hepsiburada.com/tonny-black-kadin-beyaz-fume-rahat-kalip-kaucuk-taban-bagcikli-sneaker-p-HBCV0000ECFLUM,moda-vitrini
186,HBCV00007T4DOI,Camper,"Camper Sneaker, 41, Antrasit",5999.4,5999.4,Boyner,5,18,https://www.hepsiburada.com/camper-sneaker-41-antrasit-p-HBCV00007T4DOI,moda-vitrini
187,HBCV00009LQW97,Lufian,Lufian Tommy Erkek Deri Sneaker Ayakkabı Siyah,1599,1599,TARTAR AYAKKABI,4.3,64,https://www.hepsiburada.com/lufian-tommy-erkek-deri-sneaker-ayakkabi-siyah-p-HBCV00009LQW97,moda-vitrini
188,HBCV00007HX6TJ,Lufian,Lufian Tommy Erkek Deri Sneaker Ayakkabı Lacivert,1599,1599,,4.3,64,https://www.hepsiburada.com/lufian-tommy-erkek-deri-sneaker-ayakkabi-lacivert-p-HBCV00007HX6TJ,moda-vitrini
189,HBCV00009LQX5V,Lufian,Lufian Tommy Erkek Deri Sneaker Ayakkabı Siyah,1940,1940,,4.3,64,https://www.hepsiburada.com/lufian-tommy-erkek-deri-sneaker-ayakkabi-siyah-p-HBCV00009LQX5V,moda-vitrini
190,HBV00001AZM6W,U.S. Polo Assn.,U.S. Polo Assn. Maybe Beyaz Kadın Sneaker Spor Ayakkabı,1983.15,2094.3,Çukurova Spor,4.7,161,https://www.hepsiburada.com/u-s-polo-assn-maybe-beyaz-kadin-sneaker-spor-ayakkabi-p-HBV00001AZM6W,moda-vitrini
191,HBV00001AZLA4,U.S. Polo Assn.,U.S. Polo Assn. 1M Maybe Wmn Kadın Ayakkabı - 100605077,1980,1980,,4.7,161,https://www.hepsiburada.com/u-s-polo-assn-1m-maybe-wmn-kadin-ayakkabi-100605077-p-HBV00001AZLA4,moda-vitrini
192,HBCV0000C7MCGN,U.S. Polo Assn.,U.s. Polo Assn. Lee 3fx Beyaz Erkek Sneaker,900,900,magazaserisonu,5,4,https://www.hepsiburada.com/u-s-polo-assn-lee-3fx-beyaz-erkek-sneaker-pm-HBC00003MOU5B,moda-vitrini
193,HBCV000047HPPY,Lufian,Lufian Tommy Erkek Deri Sneaker Ayakkabı Lacivert,1499.99,1599.99,Modacızade,4.3,565,https://www.hepsiburada.com/lufian-tommy-erkek-deri-sneaker-ayakkabi-lacivert-p-HBCV000047HPPY,moda-vitrini
194,HBCV00004BLECH,Lufian,Lufian Tommy Erkek Deri Sneaker Ayakkabı Taba,1948,1948,,4.3,565,https://www.hepsiburada.com/lufian-tommy-erkek-deri-sneaker-ayakkabi-taba-p-HBCV00004BLECH,moda-vitrini
195,HBCV000047HOXD,Lufian,Lufian Tommy Lacivert Erkek Deri Sneaker Ayakkabı Düz Taban Bağcıklı Günlük Kullanım İçin,1948,1948,,4.3,565,https://www.hepsiburada.com/lufian-tommy-lacivert-erkek-deri-sneaker-ayakkabi-duz-taban-bagcikli-gunluk-kullanim-icin-p-HBCV000047HOXD,moda-vitrini
196,HBCV00004BLEQ8,Lufian,Lufian Tommy Erkek Deri Sneaker Ayakkabı Beyaz,1599,1599,,4.3,565,https://www.hepsiburada.com/lufian-tommy-erkek-deri-sneaker-ayakkabi-beyaz-p-HBCV00004BLEQ8,moda-vitrini
197,HBCV0000CVC7VE,Camper,Camper Drift Trail Erkek Siyah Sneaker K100928-021,7139.15,7139.15,CAMPER TÜRKİYE,5,1,https://www.hepsiburada.com/camper-drift-trail-erkek-siyah-sneaker-k100928-021-p-HBCV0000CVC7VE,moda-vitrini
198,HBCV00006YN3WX,AVVA,AVVA Erkek Gri Nefes Alan Hafif Sneaker Ayakkabı A41Y8024,1414.99,1414.99,AVVA,4.2,7,https://www.hepsiburada.com/avva-erkek-gri-nefes-alan-hafif-sneaker-ayakkabi-a41y8024-p-HBCV00006YN3WX,moda-vitrini
