date,sku,brand,title,price,winner_merchant,sellers_count,rating,review_count,question_count,minimum_price_30d,url
2026-09-14,HBCV0000C84N9N,Sleepy,Sleepy Natural Double Soft Ultra Fırsat Paketi Bebek Bezi 3 Numara Midi 84 Adet,566,Sleepy,4,4.2,655,655,447.14,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-firsat-paketi-bebek-bezi-3-numara-midi-84-adet-p-HBCV0000C84N9N
2026-09-14,HBCV00006WWHO7,Molfix,Molfix Premium Süper Fırsat Paketi 4 Beden 108 Adet,891.99,Hayat,5,4.1,377,377,763.99,https://www.hepsiburada.com/molfix-premium-super-firsat-paketi-4-beden-108-adet-pm-HBC00006WWHO6
2026-09-14,HBCV00006WD3N1,Molfix,Molfix Premium Süper Fırsat Paketi 5 Beden 84 Adet,891.99,Hayat,3,4.2,402,402,763.99,https://www.hepsiburada.com/molfix-premium-super-firsat-paketi-5-beden-84-adet-pm-HBC00006WD3N0
2026-09-14,HBCV00005ADJMY,Molfix,Molfix Pure & Soft Bebek Bezi 5 Beden Junior 132 Adet,1059.99,Hayat,5,4.5,1026,1026,966.99,https://www.hepsiburada.com/molfix-pure-soft-bebek-bezi-5-beden-junior-132-adet-pm-HBC00005ADJMX
2026-09-14,HBCV0000D5JXD8,Molfix,Molfix Pants 6 Beden Fırsat Paketi 114 Adet,1195,İLOVYA,6,4.6,58,58,1235,https://www.hepsiburada.com/molfix-pants-6-beden-firsat-paketi-114-adet-pm-HBC0000D5JXD7
2026-09-14,HBCV0000C84W0U,Sleepy,Sleepy Natural Double Soft Ultra Fırsat Paketi Bebek Bezi 1 Numara Newborn 100 Adet,566,Sleepy,5,4.2,655,655,447.14,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-firsat-paketi-bebek-bezi-1-numara-newborn-100-adet-p-HBCV0000C84W0U
2026-09-14,HBCV0000DBZW04,Molfix,Molfix Kanal Teknolojisi Dev Avantaj Paketi 1 Beden Yenidoğan 144 Adet,739.99,Hayat,4,4.2,73,73,666.99,https://www.hepsiburada.com/molfix-kanal-teknolojisi-dev-avantaj-paketi-1-beden-yenidogan-144-adet-pm-HBC0000DBZUAZ
2026-09-14,HBCV0000E6VJOT,Sleepy,Sleepy Bio Natural Premium Plus Airbag Comfort Avantaj Paketi Bebek Bezi 3 Numara Midi 112 Adet,810,Sleepy,5,4.3,122,122,607.5,https://www.hepsiburada.com/sleepy-bio-natural-premium-plus-airbag-comfort-avantaj-paketi-bebek-bezi-3-numara-midi-112-adet-p-HBCV0000E6VJOT
2026-09-14,HBCV00006WD2FN,Molfix,Molfix Premium Avantajlı Paket 6 Beden 108 Adet,1006.99,Hayat,9,4.5,186,186,888.99,https://www.hepsiburada.com/molfix-premium-avantajli-pket-6-beden-108-adet-pm-HBC00006WD2FM
2026-09-14,HBCV000073VQ3H,Prima,Prima PremiumCare Bebek Bezi Aylık Fırsat Paketi 7 Numara 80 Adet Bez,1797.9,Hepsiburada,3,4.8,99,99,1513.76,https://www.hepsiburada.com/prima-premiumcare-bebek-bezi-aylik-firsat-paketi-7-numara-80-adet-bez-pm-HBC000073VQ3G
2026-09-14,HBCV0000C85165,Sleepy,Sleepy Natural Double Soft Ultra Fırsat Paketi Bebek Bezi 7 Numara Xxlarge 96 Adet,920,nelazimsabak,6,4.2,655,655,860,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-firsat-paketi-bebek-bezi-7-numara-xxlarge-96-adet-p-HBCV0000C85165
2026-09-14,HBCV00003UPP2T,Molfix,Molfix Külot Bebek Bezi 4 Beden Maxi Ultra Fırsat Paketi 86 adet,470.9,Hepsiburada,5,4.3,54,54,413.86,https://www.hepsiburada.com/molfix-kulot-bebek-bezi-4-beden-maxi-86-li-ultra-firsat-paketi-pm-HBC00003UPP2S
2026-09-14,HBCV00004M9B7N,Sleepy,Sleepy Extra Günlük Aktivite Ultra Paket Bebek Bezi 4 Numara Maxi 208 Adet,760,Sleepy,1,4.4,53,53,684,https://www.hepsiburada.com/sleepy-extra-gunluk-aktivite-ultra-paket-bebek-bezi-4-numara-maxi-208-adet-pm-HBC00004M9B7M
2026-09-14,HBCV0000C839S6,Sleepy,Sleepy Natural Double Soft Ultra Paket Bebek Bezi 5 Numara Junior 78 Adet,657,Sleepy,9,4.4,329,329,519.03,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-paket-bebek-bezi-5-numara-junior-78-adet-p-HBCV0000C839S6
