date,sku,brand,title,price,winner_merchant,sellers_count,rating,review_count,question_count,minimum_price_30d,url
2026-09-14,HBCV00003O0DAR,Mia Klinika,Mia Klinika Akneli Sivilceli ve Yağlı Ciltler İçin Bariyer Güçlendirici Nemlendirici Krem,299,Mia Klinika,1,4.4,60,60,249,https://www.hepsiburada.com/mia-klinika-ve-ye-nemlendirici-krem-pm-HBC00003O0DAQ
2026-09-14,HBV00000EMZB5,La Roche-Posay,La Roche-Posay Toleriane Sensitive 40 ml Nemlendirici Bakım Hassas Ciltler İçin Koruyucu Etki,1139,La Roche Posay,25,4.6,605,605,974.92,https://www.hepsiburada.com/la-roche-posay-toleriane-sensitive-nemlendirici-bakimhassas-ciltler-40ml-pm-HB00000EMZB4
2026-09-14,HBCV00009FIKK2,The Purest Solutions,The Purest Solutions 72 Saat Etkili Sebum Dengeleyici Su Bazlı Günlük Nemlendirici Krem,399.9,The Purest Solutions,3,4.4,143,143,284.9,https://www.hepsiburada.com/the-purest-solutions-72-saat-etkili-sebum-dengeleyici-gunluk-nemlendirici-krem-pm-HBC00009FIKK1
2026-09-14,HBCV0000G14CTP,Wiwify,Wiwify Su Bazlı Yoğun Nemlendirici Yüz Kremi 100 ml X2 Adet,579.9,wiwify,1,4.4,47,47,369.9,https://www.hepsiburada.com/su-bazli-yogun-nemlendirici-yuz-kremi-100-ml-x2-adet-pm-HBC0000G14CTM
2026-09-14,HBV00000EH195,CeraVe,Cerave  Nemlendirici Losyon Kuru Ciltler Hyalüronik Asit İçerikli 236 ml,850,City Avm,22,4.6,1104,1104,850,https://www.hepsiburada.com/cerave-nemlendirici-losyon-kuru-ciltler-hyaluronik-asit-icerikli-236-ml-pm-HB00000EH194
2026-09-14,HBCV00003P39MR,Wiwify,WIWIFY Su Bazlı Yoğun Nemlendirici Krem 100 ml Hydration Booster Daily Moisturizing Cream 24 Saat Etkili,348,O MU BU MU,4,4.6,1219,1219,348,https://www.hepsiburada.com/wiwify-su-bazli-yogun-nemlendirici-krem-100-ml-hydration-booster-daily-moisturizing-cream-24-saat-etkili-pm-HBC00003P39MQ
2026-09-14,HBCV0000AMDJXM,Sinoz,Sinoz Avokado Bomb Yüz Bakım Kremi - Kuru Ciltler İçin Nemlendirici ve Canlandırıcı 50 ml,469,Sinoz Kozmetik,1,4.7,50,50,499,https://www.hepsiburada.com/sinoz-avokado-bomb-canlandirici-nemlendirici-yuz-bakim-kremi-50-ml-pm-HBC0000AMDJXL
2026-09-14,HBCV0000H86TH5,The Purest Solutions,The Purest Solutions 24 Saat Etkili Günlük Yoğun Nemlendirici Cilt Bakım Kremi 100 ml,359.9,The Purest Solutions,1,4.8,5,5,389.9,https://www.hepsiburada.com/24-saat-etkili-gunluk-yogun-nemlendirici-cilt-bakim-kremi-100-ml-pm-HBC0000H86TGW
2026-09-14,HBCV0000EACSAU,Wiwify,"Wiwify Su Bazlı Günlük Nemlendirici Jel Krem 100 ml | Hyaluronic Acid, Prebiyotik, Squalene, Niacinamide",389,wiwify,1,4.7,43,43,274.9,https://www.hepsiburada.com/su-bazli-gunluk-nemlendirici-jel-krem-100-ml-hyaluronic-acid-prebiyotik-squalane-niacinamide-pm-HBC0000EACSAS
2026-09-14,HBCV00003MX0JZ,Mila Care,Mila Care Arı Zehri Kremi 100ml,529,Mila Care,1,4.1,278,278,476.1,https://www.hepsiburada.com/bee-venom-ari-zehri-kremi-100ml-pm-HBC00003MX0JY
